Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Índice de Marginación 2015

estado,municipio,cve_inegi,id_estado,id_municipio,porc_15ymas_analfabeta,porc_15ymas_sinprim,porc_ocu_viv_sindres,porc_ocu_viv_sinel,porc_ocu_viv_sinagua,porc_ocu_viv_hacin,porc_ocu_viv_pisotierra,porc_loc_menor5k,porc_pocu_2sm,indice_marginacion,grado_marginacion,lugar_estatal,lugar_nacional
"Aguascalientes","San Francisco de los Romo","1011","1","11","2.94","13.77","0.13","0.41","0.76","31.28","0.46","54.92","35.49","-1.15600","MB","9","2171"
"Baja California","Total del estado Baja California","2000","2","0","1.96","10.46","0.26","0.47","2.82","23.03","1.15","10.35","22.85","-1.10000","MB","0","30"
"Baja California","Ensenada","2001","2","1","3.58","14.67","0.40","0.99","8.10","22.57","1.28","22.82","29.63","-1.32300","MB","1","2267"
"Baja California","Mexicali","2002","2","2","1.55","9.36","0.16","0.56","1.20","23.67","0.69","12.86","23.09","-1.64800","MB","4","2396"
"Baja California","Tecate","2003","2","3","2.32","12.77","0.36","1.48","6.75","21.92","1.17","29.39","25.36","-1.40800","MB","2","2298"
"Baja California","Tijuana","2004","2","4","1.69","9.68","0.27","0.21","1.72","22.85","1.37","3.23","20.47","-1.70800","MB","5","2416"
"Baja California","Playas de Rosarito","2005","2","5","2.31","11.56","0.23","0.42","7.79","23.02","1.48","21.49","25.72","-1.46300","MB","3","2322"
"Baja California Sur","Total del estado Baja California Sur","3000","3","0","2.51","11.59","0.38","1.14","7.15","26.23","4.08","15.62","22.37","-0.60000","B","0","22"
"Baja California Sur","Comondú","3001","3","1","5.06","20.08","0.86","2.37","3.81","25.07","3.12","22.03","40.10","-1.01700","B","1","2060"
"Baja California Sur","Mulegé","3002","3","2","5.06","20.77","0.57","1.69","2.37","27.42","2.22","46.34","28.16","-1.05100","B","2","2095"
"Baja California Sur","La Paz","3003","3","3","1.86","8.43","0.39","1.15","3.72","19.49","1.69","12.52","22.24","-1.65800","MB","5","2399"
"Baja California Sur","Los Cabos","3008","3","8","1.96","10.66","0.18","0.58","12.33","33.42","7.03","9.62","17.32","-1.29600","MB","3","2257"
"Baja California Sur","Loreto","3009","3","9","2.49","11.38","1.11","3.04","6.00","23.46","3.65","12.03","27.46","-1.34500","MB","4","2277"
"Campeche","Total del estado Campeche","4000","4","0","6.68","18.56","4.08","1.59","6.49","37.93","2.95","30.88","40.69","0.46000","A","0","10"
"Campeche","Calkiní","4001","4","1","11.10","23.25","14.41","0.84","4.29","44.56","2.54","26.28","54.47","-0.24800","M","8","1392"
"Campeche","Campeche","4002","4","2","3.98","11.98","1.08","0.40","0.83","31.94","0.97","9.71","38.21","-1.28100","MB","11","2248"
"Campeche","Carmen","4003","4","3","4.08","14.07","0.90","1.16","11.23","33.44","2.12","17.25","22.42","-1.18600","MB","10","2190"
"Campeche","Champotón","4004","4","4","10.04","26.32","6.19","1.66","4.11","44.77","3.65","52.31","56.78","-0.15900","M","6","1303"
"Campeche","Hecelchakán","4005","4","5","9.67","25.12","9.56","2.50","2.47","45.76","1.02","32.95","51.36","-0.29100","M","9","1434"
"Campeche","Hopelchén","4006","4","6","10.12","35.91","14.46","2.46","2.15","48.25","2.45","80.69","66.58","0.36100","A","3","836"
"Campeche","Palizada","4007","4","7","9.87","24.68","2.12","1.95","23.40","42.89","3.88","100.00","59.81","0.16400","A","4","1018"
"Campeche","Tenabo","4008","4","8","10.92","23.47","19.55","1.23","1.85","45.32","1.05","22.52","63.63","-0.13300","M","5","1281"
"Campeche","Escárcega","4009","4","9","9.55","26.37","3.51","2.17","2.40","45.45","5.12","45.60","58.84","-0.17400","M","7","1324"
"Campeche","Calakmul","4010","4","10","15.29","29.49","4.29","3.60","32.35","53.28","11.15","100.00","44.78","0.70600","A","2","563"
"Campeche","Candelaria","4011","4","11","12.80","30.29","7.61","9.04","17.15","48.20","13.47","76.18","60.34","0.76900","A","1","507"
"Coahuila de Zaragoza","Total del estado Coahuila de Zaragoza","5000","5","0","1.99","9.56","0.62","0.29","1.67","23.62","0.66","12.15","27.94","-1.10000","MB","0","29"
"Coahuila de Zaragoza","Abasolo","5001","5","1","2.60","14.14","0.30","0.00","0.69","13.62","0.49","100.00","43.35","-1.18400","MB","21","2189"
"Coahuila de Zaragoza","Acuña","5002","5","2","1.76","10.86","0.14","0.83","0.89","30.10","0.70","1.84","44.27","-1.35300","MB","25","2280"
"Coahuila de Zaragoza","Allende","5003","5","3","2.05","11.03","0.39","0.04","0.17","24.59","0.18","8.74","28.02","-1.60000","MB","30","2381"
"Coahuila de Zaragoza","Arteaga","5004","5","4","5.31","20.55","0.70","0.38","3.47","31.39","1.93","62.54","40.11","-0.84900","B","11","1938"
"Coahuila de Zaragoza","Candela","5005","5","5","6.62","25.65","1.92","0.99","1.22","26.59","0.00","100.00","43.54","-0.64700","B","4","1745"
"Coahuila de Zaragoza","Castaños","5006","5","6","1.86","10.73","0.34","0.41","4.03","31.02","0.45","8.66","24.76","-1.48400","MB","28","2333"
"Coahuila de Zaragoza","Cuatro Ciénegas","5007","5","7","4.15","17.05","1.46","1.85","5.35","32.36","1.80","20.78","41.16","-0.99200","B","14","2040"
"Coahuila de Zaragoza","Escobedo","5008","5","8","3.30","17.17","1.01","0.36","11.57","31.58","0.52","100.00","36.43","-0.77300","B","7","1860"
"Coahuila de Zaragoza","Francisco I. Madero","5009","5","9","3.77","16.74","2.10","0.18","2.32","27.61","0.91","52.17","44.71","-1.02100","B","17","2067"
"Coahuila de Zaragoza","Frontera","5010","5","10","1.46","7.92","0.34","0.08","1.39","29.52","0.29","7.65","19.27","-1.66300","MB","32","2402"
"Coahuila de Zaragoza","General Cepeda","5011","5","11","6.56","21.11","4.56","1.30","1.45","31.80","1.05","100.00","38.40","-0.62400","B","3","1722"
"Coahuila de Zaragoza","Guerrero","5012","5","12","6.75","27.17","1.12","1.06","2.12","23.87","0.65","100.00","40.82","-0.67300","B","5","1772"
"Coahuila de Zaragoza","Hidalgo","5013","5","13","6.92","23.31","1.98","0.77","1.21","31.93","0.96","100.00","21.86","-0.79600","B","8","1882"
"Coahuila de Zaragoza","Jiménez","5014","5","14","3.81","23.77","1.92","3.32","7.67","27.21","1.25","100.00","54.80","-0.44800","M","2","1575"
"Coahuila de Zaragoza","Juárez","5015","5","15","2.11","18.66","0.70","1.27","2.41","26.32","0.51","100.00","32.89","-0.95800","B","12","2012"
"Coahuila de Zaragoza","Lamadrid","5016","5","16","3.71","13.98","0.74","0.23","0.63","23.46","1.14","100.00","40.63","-1.01200","B","15","2055"
"Coahuila de Zaragoza","Matamoros","5017","5","17","3.16","15.05","1.95","0.20","1.40","29.51","1.24","42.25","42.72","-1.09800","MB","19","2134"
"Coahuila de Zaragoza","Monclova","5018","5","18","1.34","6.85","0.30","0.17","1.16","22.14","0.31","0.43","17.88","-1.83600","MB","38","2437"
"Coahuila de Zaragoza","Morelos","5019","5","19","2.55","11.86","1.16","0.05","0.98","27.60","0.31","16.66","33.02","-1.42700","MB","27","2305"
"Coahuila de Zaragoza","Múzquiz","5020","5","20","2.80","13.85","0.52","0.93","1.67","29.89","0.67","10.42","33.15","-1.34000","MB","24","2275"
"Coahuila de Zaragoza","Nadadores","5021","5","21","3.30","12.10","0.46","0.56","1.03","26.73","0.18","100.00","30.49","-1.10600","MB","20","2137"
"Coahuila de Zaragoza","Nava","5022","5","22","2.38","12.56","0.95","0.49","1.67","27.13","1.19","20.54","30.23","-1.40100","MB","26","2295"
"Coahuila de Zaragoza","Ocampo","5023","5","23","4.40","18.88","2.25","1.50","6.66","29.11","1.76","100.00","33.26","-0.75700","B","6","1849"
"Coahuila de Zaragoza","Parras","5024","5","24","4.21","13.73","4.87","0.57","6.83","26.81","1.49","25.51","54.54","-0.97200","B","13","2024"
"Coahuila de Zaragoza","Piedras Negras","5025","5","25","1.50","8.63","0.36","0.17","0.82","30.33","0.93","1.72","31.70","-1.53100","MB","29","2356"
"Coahuila de Zaragoza","Progreso","5026","5","26","4.65","22.42","1.73","0.42","1.15","29.81","0.52","100.00","32.39","-0.81900","B","9","1902"
"Coahuila de Zaragoza","Ramos Arizpe","5027","5","27","2.01","8.25","0.44","0.43","1.48","23.30","0.50","11.80","16.54","-1.73000","MB","35","2423"
"Coahuila de Zaragoza","Sabinas","5028","5","28","1.94","9.89","0.32","0.24","1.08","21.89","0.47","9.77","23.73","-1.67800","MB","33","2409"
"Coahuila de Zaragoza","Sacramento","5029","5","29","3.72","14.07","1.10","0.08","0.17","25.62","0.68","100.00","31.71","-1.07700","MB","18","2114"
"Coahuila de Zaragoza","Saltillo","5030","5","30","1.54","7.13","0.28","0.24","1.87","21.63","0.48","2.13","17.01","-1.82300","MB","37","2436"
"Coahuila de Zaragoza","San Buenaventura","5031","5","31","1.82","8.34","0.38","0.10","1.32","20.60","0.12","7.53","21.91","-1.76000","MB","36","2427"
"Coahuila de Zaragoza","San Juan de Sabinas","5032","5","32","1.64","9.76","0.63","0.37","0.96","22.89","0.74","8.38","29.36","-1.61000","MB","31","2385"
"Coahuila de Zaragoza","San Pedro","5033","5","33","4.66","18.46","2.18","0.40","5.38","29.44","0.75","44.86","56.32","-0.82300","B","10","1908"
"Coahuila de Zaragoza","Sierra Mojada","5034","5","34","3.37","12.01","1.27","0.59","3.21","35.11","1.19","100.00","21.19","-1.01400","B","16","2056"
"Coahuila de Zaragoza","Torreón","5035","5","35","1.49","7.91","0.23","0.09","0.65","18.46","0.69","4.81","31.80","-1.72200","MB","34","2418"
"Coahuila de Zaragoza","Viesca","5036","5","36","5.42","23.26","4.56","0.52","7.44","31.94","1.79","100.00","57.40","-0.38000","M","1","1517"
"Coahuila de Zaragoza","Villa Unión","5037","5","37","2.92","15.84","1.20","0.43","0.52","29.40","0.46","14.92","46.93","-1.18600","MB","22","2191"
"Coahuila de Zaragoza","Zaragoza","5038","5","38","2.75","17.74","0.48","0.56","1.34","25.92","0.59","17.64","40.06","-1.26100","MB","23","2238"
"Colima","Total del estado Colima","6000","6","0","3.90","15.24","0.38","0.38","0.96","25.65","2.45","14.47","31.18","-0.73000","B","0","26"
"Colima","Armería","6001","6","1","8.71","29.67","1.44","0.42","2.99","36.18","5.57","22.90","55.33","-0.48100","M","2","1602"
"Colima","Colima","6002","6","2","2.86","12.06","0.26","0.63","0.78","19.38","1.85","6.48","27.82","-1.59500","MB","9","2378"
"Colima","Comala","6003","6","3","3.99","18.26","1.60","0.63","0.90","32.99","3.13","54.79","43.61","-0.87300","B","5","1955"
"Colima","Coquimatlán","6004","6","4","5.55","22.48","0.63","0.47","0.77","31.42","2.70","31.09","39.65","-0.95200","B","6","2007"
"Colima","Cuauhtémoc","6005","6","5","3.50","16.64","0.25","0.24","0.44","23.43","1.15","36.50","35.19","-1.28500","MB","7","2250"
"Colima","Ixtlahuacán","6006","6","6","10.61","28.18","1.23","0.76","1.54","28.28","3.13","100.00","62.42","-0.26100","M","1","1401"
"Colima","Manzanillo","6007","6","7","3.05","12.04","0.34","0.17","0.93","27.89","1.53","13.09","22.39","-1.50900","MB","8","2345"
"Colima","Minatitlán","6008","6","8","6.02","20.50","1.93","0.49","3.16","27.21","3.48","100.00","33.78","-0.76200","B","4","1856"
"Colima","Tecomán","6009","6","9","7.38","26.67","0.26","0.57","1.40","36.62","5.26","12.20","46.58","-0.71600","B","3","1817"
"Colima","Villa de Álvarez","6010","6","10","1.71","7.71","0.10","0.18","0.34","17.75","1.18","1.96","24.88","-1.80100","MB","10","2433"
"Chiapas","Total del estado Chiapas","7000","7","0","14.98","31.71","2.90","2.49","13.45","44.46","11.78","57.86","62.46","2.41000","MA","0","2"
"Chiapas","Acacoyagua","7001","7","1","11.81","34.36","3.05","1.50","8.19","49.70","6.00","55.30","66.74","0.23700","A","97","957"
"Chiapas","Acala","7002","7","2","16.52","33.18","3.38","1.72","3.04","49.38","7.87","52.02","64.08","0.27600","A","94","921"
"Chiapas","Acapetahua","7003","7","3","15.37","37.74","6.77","1.40","28.27","45.05","8.03","77.54","71.56","0.73900","A","58","533"
"Chiapas","Altamirano","7004","7","4","25.05","45.44","3.02","6.71","20.88","48.61","15.82","69.20","80.61","1.41200","MA","23","211"
"Chiapas","Amatán","7005","7","5","23.35","41.24","1.50","5.94","15.63","48.94","19.75","100.00","80.41","1.39800","MA","24","217"
"Chiapas","Amatenango de la Frontera","7006","7","6","15.71","39.66","1.51","2.46","2.59","44.46","6.28","100.00","70.58","0.50800","A","76","710"
"Chiapas","Amatenango del Valle","7007","7","7","31.21","52.52","8.89","3.25","30.44","57.76","22.20","100.00","88.96","2.19100","MA","6","53"
"Chiapas","Angel Albino Corzo","7008","7","8","19.86","40.16","2.30","2.88","3.21","52.07","10.80","60.84","73.48","0.72000","A","60","551"
"Chiapas","Arriaga","7009","7","9","8.30","25.74","2.66","1.35","15.36","38.28","1.87","38.95","63.41","-0.27000","M","114","1415"
"Chiapas","Bejucal de Ocampo","7010","7","10","11.47","38.50","0.23","0.77","36.90","57.63","13.75","100.00","76.84","1.08000","A","40","354"
"Chiapas","Bella Vista","7011","7","11","11.59","37.68","0.98","3.15","18.97","45.92","9.75","100.00","68.79","0.64400","A","64","613"
"Chiapas","Berriozábal","7012","7","12","11.64","32.13","3.52","1.60","17.17","46.91","9.51","34.86","57.02","0.15200","A","100","1029"
"Chiapas","Bochil","7013","7","13","15.51","29.80","0.59","1.81","8.70","53.77","18.68","59.52","77.88","0.65800","A","63","606"
"Chiapas","El Bosque","7014","7","14","25.95","42.44","1.36","1.08","1.88","58.25","22.86","72.22","82.35","1.26100","MA","32","269"
"Chiapas","Cacahoatán","7015","7","15","11.63","28.54","1.02","1.23","2.62","45.72","8.13","62.17","71.42","0.09200","A","103","1094"
"Chiapas","Catazajá","7016","7","16","15.83","37.95","5.36","3.58","6.64","39.42","8.26","100.00","70.13","0.57800","A","70","657"
"Chiapas","Cintalapa","7017","7","17","10.99","29.56","6.44","1.06","6.90","40.14","8.11","45.63","65.75","0.00400","M","107","1162"
"Chiapas","Coapilla","7018","7","18","15.71","41.09","5.49","1.41","1.79","49.75","9.27","100.00","77.65","0.74600","A","57","527"
"Chiapas","Comitán de Domínguez","7019","7","19","11.46","26.45","0.82","0.65","13.52","35.14","7.74","30.83","62.25","-0.23500","M","113","1377"
"Chiapas","La Concordia","7020","7","20","19.35","40.51","7.34","3.16","10.34","50.87","14.33","82.67","79.38","1.06300","A","41","365"
"Chiapas","Copainalá","7021","7","21","11.98","34.10","2.58","2.43","4.88","49.50","10.23","68.89","71.16","0.40300","A","84","799"
"Chiapas","Chalchihuitán","7022","7","22","32.17","42.39","3.93","13.57","44.08","68.21","34.37","100.00","84.90","2.85300","MA","2","18"
"Chiapas","Chamula","7023","7","23","37.45","48.74","3.57","1.34","26.54","55.08","21.20","100.00","85.33","1.99300","MA","9","83"
"Chiapas","Chanal","7024","7","24","26.24","41.70","2.92","3.17","40.97","63.40","28.44","35.21","47.75","1.47500","MA","20","188"
"Chiapas","Chapultenango","7025","7","25","15.99","31.73","2.69","3.77","7.80","30.08","13.34","100.00","62.38","0.34300","A","87","851"
"Chiapas","Chenalhó","7026","7","26","28.33","41.82","3.48","3.33","17.49","61.86","38.10","100.00","73.76","1.95800","MA","10","87"
"Chiapas","Chiapa de Corzo","7027","7","27","10.59","25.60","2.65","1.14","7.94","42.21","8.00","48.54","52.39","-0.19800","M","112","1341"
"Chiapas","Chiapilla","7028","7","28","24.60","47.13","0.93","1.70","2.15","55.65","4.92","100.00","77.29","1.00500","A","44","391"
"Chiapas","Chicoasén","7029","7","29","10.46","29.44","1.28","0.22","3.96","52.15","4.65","100.00","44.15","-0.02200","M","110","1180"
"Chiapas","Chicomuselo","7030","7","30","15.84","45.58","3.59","2.19","12.45","47.65","10.17","81.16","71.38","0.78900","A","53","495"
"Chiapas","Chilón","7031","7","31","30.42","47.24","12.42","8.31","15.12","66.83","28.57","88.86","75.04","2.23800","MA","5","46"
"Chiapas","Escuintla","7032","7","32","12.11","34.71","2.88","2.98","7.17","46.28","5.50","68.17","70.29","0.31400","A","90","882"
"Chiapas","Francisco León","7033","7","33","21.14","41.00","2.24","2.39","2.50","55.84","12.75","100.00","86.22","1.11000","A","38","340"
"Chiapas","Frontera Comalapa","7034","7","34","11.65","35.87","1.49","1.30","11.81","40.52","8.40","72.09","76.66","0.33600","A","88","856"
"Chiapas","Frontera Hidalgo","7035","7","35","14.52","30.93","4.89","1.96","24.25","42.26","8.09","100.00","68.68","0.57900","A","69","655"
"Chiapas","La Grandeza","7036","7","36","11.38","29.42","0.65","1.42","18.93","52.21","10.58","100.00","62.20","0.48200","A","80","734"
"Chiapas","Huehuetán","7037","7","37","13.41","29.12","5.94","1.85","39.47","42.38","9.29","57.93","64.34","0.51300","A","73","700"
"Chiapas","Huixtán","7038","7","38","20.87","33.14","1.45","4.22","17.73","43.83","24.76","100.00","63.75","1.02400","A","42","384"
"Chiapas","Huitiupán","7039","7","39","21.93","39.09","1.34","1.59","14.81","50.99","29.54","100.00","66.98","1.24900","MA","34","279"
"Chiapas","Huixtla","7040","7","40","10.59","28.36","2.43","2.03","14.94","43.46","11.53","37.63","67.45","0.14100","A","101","1044"
"Chiapas","La Independencia","7041","7","41","15.42","40.58","1.32","0.91","7.12","47.46","8.78","74.41","72.43","0.51500","A","72","698"
"Chiapas","Ixhuatán","7042","7","42","17.27","35.99","0.23","0.53","1.53","41.39","7.76","100.00","83.39","0.49000","A","77","726"
"Chiapas","Ixtacomitán","7043","7","43","12.26","28.58","2.66","6.78","10.42","49.35","9.31","100.00","66.46","0.59600","A","67","641"
"Chiapas","Ixtapa","7044","7","44","14.10","31.27","1.91","1.06","7.23","56.06","7.82","75.17","74.69","0.48300","A","79","733"
"Chiapas","Ixtapangajoya","7045","7","45","15.33","37.42","3.22","1.49","8.66","49.11","17.84","100.00","74.49","0.84500","A","51","469"
"Chiapas","Jiquipilas","7046","7","46","11.23","34.05","2.41","1.09","10.43","39.62","9.68","73.84","74.06","0.28000","A","93","913"
"Chiapas","Jitotol","7047","7","47","20.32","35.25","0.93","1.28","1.48","58.11","10.24","100.00","72.06","0.77600","A","55","503"
"Chiapas","Juárez","7048","7","48","12.56","30.62","2.61","1.09","18.71","36.16","5.22","65.44","57.30","0.01200","M","106","1153"
"Chiapas","Larráinzar","7049","7","49","22.19","34.81","0.73","1.72","10.22","66.67","12.54","100.00","83.83","1.20600","A","35","291"
"Chiapas","La Libertad","7050","7","50","12.99","32.36","4.27","1.80","16.86","35.37","1.82","100.00","76.25","0.32300","A","89","868"
"Chiapas","Mapastepec","7051","7","51","13.68","35.88","2.92","1.49","13.67","39.87","7.08","59.17","66.85","0.24900","A","96","947"
"Chiapas","Las Margaritas","7052","7","52","20.36","39.94","2.10","9.30","30.66","48.58","12.78","81.35","81.13","1.39300","MA","26","221"
"Chiapas","Mazapa de Madero","7053","7","53","9.53","37.41","0.46","0.97","4.51","52.78","6.30","100.00","64.57","0.34800","A","86","848"
"Chiapas","Mazatán","7054","7","54","13.18","31.41","7.70","1.50","39.34","45.10","11.38","74.27","76.81","0.82200","A","52","476"
"Chiapas","Metapa","7055","7","55","10.91","24.64","1.76","1.01","5.22","35.69","9.52","100.00","64.83","0.00200","M","108","1163"
"Chiapas","Mitontic","7056","7","56","40.81","56.55","0.78","0.78","41.81","40.90","26.21","100.00","78.80","2.12100","MA","7","63"
"Chiapas","Motozintla","7057","7","57","11.55","35.03","0.88","0.74","1.94","52.23","11.11","65.63","62.96","0.25800","A","95","938"
"Chiapas","Nicolás Ruíz","7058","7","58","18.67","51.26","1.39","0.33","1.71","68.06","9.99","100.00","86.27","1.25900","MA","33","270"
"Chiapas","Ocosingo","7059","7","59","22.96","40.87","3.62","9.78","13.04","55.10","23.95","71.01","62.96","1.41700","MA","22","208"
"Chiapas","Ocotepec","7060","7","60","34.98","54.08","5.21","1.50","4.89","63.19","20.95","100.00","75.62","1.84600","MA","12","99"
"Chiapas","Ocozocoautla de Espinosa","7061","7","61","11.43","33.67","2.19","1.58","14.56","48.18","14.43","52.25","64.37","0.37900","A","85","824"
"Chiapas","Ostuacán","7062","7","62","15.62","35.53","1.97","5.52","11.02","44.61","10.55","100.00","69.45","0.72000","A","61","552"
"Chiapas","Osumacinta","7063","7","63","10.33","26.00","1.01","0.24","0.46","47.76","4.11","100.00","66.67","0.01900","M","105","1146"
"Chiapas","Oxchuc","7064","7","64","17.06","33.19","1.92","11.27","71.24","60.43","34.29","84.60","56.77","2.07800","MA","8","68"
"Chiapas","Palenque","7065","7","65","16.45","33.26","8.23","1.47","7.52","51.98","9.15","61.28","63.26","0.47500","A","81","744"
"Chiapas","Pantelhó","7066","7","66","37.81","54.73","2.94","7.63","15.77","70.93","33.53","66.54","77.85","2.47900","MA","4","31"
"Chiapas","Pantepec","7067","7","67","26.39","43.68","3.06","0.82","2.52","60.11","20.34","100.00","71.87","1.30200","MA","30","253"
"Chiapas","Pichucalco","7068","7","68","13.02","30.18","2.60","2.94","10.63","40.47","7.99","52.33","63.53","0.12300","A","102","1063"
"Chiapas","Pijijiapan","7069","7","69","13.65","36.95","3.43","1.61","27.15","40.67","7.79","66.22","70.55","0.51000","A","74","705"
"Chiapas","El Porvenir","7070","7","70","10.06","27.61","0.21","0.19","20.75","49.39","6.88","100.00","83.70","0.48400","A","78","732"
"Chiapas","Villa Comaltitlán","7071","7","71","13.94","35.77","6.83","2.18","27.06","49.68","6.92","74.19","71.95","0.73000","A","59","538"
"Chiapas","Pueblo Nuevo Solistahuacán","7072","7","72","24.03","41.89","0.65","1.23","1.38","55.65","23.43","49.69","58.40","0.84900","A","50","464"
"Chiapas","Rayón","7073","7","73","20.11","36.47","0.82","1.59","13.92","50.79","18.34","34.52","50.39","0.50900","A","75","706"
"Chiapas","Reforma","7074","7","74","6.95","20.97","1.21","0.24","5.15","37.44","2.73","35.50","28.05","-0.90100","B","117","1972"
"Chiapas","Las Rosas","7075","7","75","26.00","50.00","2.50","1.92","27.79","49.89","23.36","26.29","80.74","1.39400","MA","25","220"
"Chiapas","Sabanilla","7076","7","76","21.96","42.34","0.88","6.85","15.59","62.55","28.69","100.00","89.33","1.87200","MA","11","94"
"Chiapas","Salto de Agua","7077","7","77","24.27","41.50","6.97","3.13","9.63","61.81","18.48","90.92","82.11","1.48400","MA","19","183"
"Chiapas","San Cristóbal de las Casas","7078","7","78","10.10","20.44","0.39","0.21","2.83","27.88","7.89","15.00","56.28","-0.72900","B","116","1825"
"Chiapas","San Fernando","7079","7","79","13.47","35.69","2.10","0.42","8.74","51.28","5.48","70.81","55.82","0.22000","A","98","973"
"Chiapas","Siltepec","7080","7","80","15.49","38.09","1.32","2.76","4.13","53.74","15.70","100.00","88.05","0.99200","A","45","398"
"Chiapas","Simojovel","7081","7","81","27.53","42.23","1.67","2.08","7.19","69.64","27.35","73.29","72.89","1.56400","MA","17","154"
"Chiapas","Sitalá","7082","7","82","42.77","61.08","56.28","13.00","44.29","68.55","22.75","100.00","89.86","3.94700","MA","1","6"
"Chiapas","Socoltenango","7083","7","83","19.58","44.97","3.35","1.54","8.05","42.38","10.44","100.00","78.68","0.86200","A","48","457"
"Chiapas","Solosuchiapa","7084","7","84","19.19","38.67","3.51","2.32","3.07","48.60","12.90","100.00","78.19","0.86300","A","47","455"
"Chiapas","Soyaló","7085","7","85","16.77","33.08","0.99","0.81","0.77","43.35","5.58","100.00","69.00","0.29200","A","92","905"
"Chiapas","Suchiapa","7086","7","86","14.43","27.11","1.92","1.69","7.88","54.08","6.65","20.94","58.23","0.02600","M","104","1144"
"Chiapas","Suchiate","7087","7","87","14.63","35.46","3.47","1.54","17.20","49.52","11.72","58.33","70.72","0.58100","A","68","654"
"Chiapas","Sunuapa","7088","7","88","14.38","32.90","1.05","2.24","13.15","45.70","9.82","100.00","79.44","0.63600","A","65","615"
"Chiapas","Tapachula","7089","7","89","6.67","20.63","1.79","1.03","9.87","35.44","5.69","29.97","53.34","-0.57700","B","115","1680"
"Chiapas","Tapalapa","7090","7","90","14.74","40.27","2.35","0.86","1.88","50.86","12.16","100.00","49.12","0.44400","A","82","765"
"Chiapas","Tapilula","7091","7","91","15.30","28.54","0.77","0.19","1.05","45.01","9.22","38.86","65.80","-0.01800","M","109","1178"
"Chiapas","Tecpatán","7092","7","92","15.37","37.58","4.07","4.45","6.64","49.63","11.15","83.39","77.28","0.78800","A","54","498"
"Chiapas","Tenejapa","7093","7","93","21.98","38.54","0.85","2.27","10.71","60.90","17.10","100.00","81.40","1.26600","MA","31","265"
"Chiapas","Teopisca","7094","7","94","25.56","47.68","1.50","2.23","6.32","52.73","12.52","56.82","83.33","1.09700","A","39","346"
"Chiapas","Tila","7096","7","96","24.84","42.08","0.94","4.62","14.38","60.91","24.42","80.49","82.29","1.58900","MA","15","149"
"Chiapas","Tonalá","7097","7","97","10.42","28.44","2.79","1.08","16.97","40.91","3.77","51.00","65.01","-0.02800","M","111","1187"
"Chiapas","Totolapa","7098","7","98","29.53","44.69","2.53","2.10","1.47","69.30","8.34","100.00","82.87","1.43500","MA","21","203"
"Chiapas","La Trinitaria","7099","7","99","15.63","37.71","1.09","1.40","25.22","41.78","11.03","87.57","71.53","0.68100","A","62","581"
"Chiapas","Tumbalá","7100","7","100","29.29","45.80","5.05","5.61","30.81","53.39","15.20","100.00","56.22","1.55700","MA","18","157"
"Chiapas","Tuxtla Gutiérrez","7101","7","101","4.32","12.94","0.13","0.14","8.45","28.11","2.22","1.47","35.65","-1.29000","MB","118","2254"
"Chiapas","Tuxtla Chico","7102","7","102","11.50","24.88","2.38","1.37","24.78","38.24","14.35","81.38","63.93","0.29800","A","91","900"
