Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Índice de Marginación 2015

estado,municipio,cve_inegi,id_estado,id_municipio,porc_15ymas_analfabeta,porc_15ymas_sinprim,porc_ocu_viv_sindres,porc_ocu_viv_sinel,porc_ocu_viv_sinagua,porc_ocu_viv_hacin,porc_ocu_viv_pisotierra,porc_loc_menor5k,porc_pocu_2sm,indice_marginacion,grado_marginacion,lugar_estatal,lugar_nacional
"Aguascalientes","Total del estado Aguascalientes","1000","1","0","2.60","11.89","0.67","0.30","0.81","21.86","0.75","25.16","34.60","-0.89000","B","0","28"
"Aguascalientes","Aguascalientes","1001","1","1","2.06","9.54","0.31","0.16","0.72","18.01","0.63","8.73","31.13","-1.67600","MB","11","2408"
"Aguascalientes","Asientos","1002","1","2","4.47","20.89","3.84","1.04","1.17","30.64","1.69","100.00","52.76","-0.56500","B","1","1669"
"Aguascalientes","Calvillo","1003","1","3","4.80","24.18","0.55","0.41","0.86","30.53","0.93","50.76","61.95","-0.69800","B","5","1799"
"Aguascalientes","Cosío","1004","1","4","4.35","16.55","1.24","0.57","0.47","34.62","1.42","100.00","49.79","-0.67400","B","4","1773"
"Aguascalientes","Jesús María","1005","1","5","3.26","13.73","0.44","0.37","0.73","27.02","1.03","45.17","33.77","-1.25600","MB","10","2229"
"Aguascalientes","Pabellón de Arteaga","1006","1","6","3.41","14.90","1.00","0.42","0.90","32.24","0.62","31.60","41.48","-1.12900","MB","8","2153"
"Aguascalientes","Rincón de Romos","1007","1","7","3.53","14.75","1.97","0.52","1.52","31.61","0.91","43.06","43.44","-1.04500","B","7","2090"
"Aguascalientes","San José de Gracia","1008","1","8","3.20","14.87","3.51","1.32","1.23","34.06","0.44","100.00","44.93","-0.73500","B","6","1832"
"Aguascalientes","Tepezalá","1009","1","9","4.23","22.13","1.85","0.63","0.94","33.64","1.00","100.00","49.39","-0.59500","B","2","1694"
"Aguascalientes","El Llano","1010","1","10","4.92","21.05","4.89","1.97","2.35","32.57","1.65","71.33","48.80","-0.61400","B","3","1710"
